"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-12,"mobile","Direct",3322,38,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-12,"tablet","Direct",398,4,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-12,"desktop","Display",6324,30,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-12,"mobile","Display",9964,4,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-12,"tablet","Display",1461,4,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-12,"desktop","Organic Search",8183,72,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-12,"mobile","Organic Search",5447,76,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-12,"tablet","Organic Search",930,8,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-12,"desktop","Paid Search",1887,4,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-12,"mobile","Paid Search",2020,13,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
